EmployeeID,Age,Gender,Department,JobLevel,YearsAtCompany,TotalExperience,Salary,TrainingHours,ProjectsCompleted,OvertimeHours,JobSatisfaction,WorkLifeBalance,ManagerRating,Absences,PromotionsLast5Yr,LastReviewScore,DistanceFromOffice,PerformanceScore,PerformanceLabel,SalaryPerExperience,TrainingEfficiency,OverallSatisfaction,AbsenceRate,CompanyLoyalty,PromotionVelocity,JobLevel_Encoded,Gender_Encoded,Dept_Finance,Dept_HR,Dept_IT,Dept_Marketing,Dept_Operations,Dept_R&D,Dept_Sales
EMP0001,50,Male,HR,Junior,2,6,32603,80.0,23,19,4.0,5,3.0,14.0,3,8.6,96,3,High,4657.57,0.28,4.0,3.84,0.29,1.0,1,0,False,True,False,False,False,False,False
EMP0002,36,Female,Finance,Lead,16,24,144814,42.0,12,12,1.0,4,4.0,6.0,1,8.5,29,3,High,5792.56,0.28,3.0,1.64,0.64,0.059,4,1,True,False,False,False,False,False,False
EMP0003,29,Male,IT,Senior,2,2,97485,94.0,10,18,2.0,2,1.0,25.0,3,5.5,22,1,Low,32495.0,0.11,1.67,6.85,0.67,1.0,3,0,False,False,True,False,False,False,False
EMP0004,42,Female,R&D,Junior,18,20,37857,97.0,2,6,5.0,5,1.0,16.0,1,7.0,84,2,Medium,1802.71,0.02,3.67,4.38,0.86,0.053,1,1,False,False,False,False,False,True,False
EMP0005,40,Female,Marketing,Manager,19,23,131620,5.0,11,8,2.0,2,4.0,21.0,1,8.8,70,2,Medium,5484.17,1.83,2.67,5.75,0.79,0.05,5,1,False,False,False,True,False,False,False
EMP0006,44,Male,Finance,Junior,3,5,38177,85.0,10,18,2.0,4,2.0,14.0,1,7.8,61,1,Low,6362.83,0.12,2.67,3.84,0.5,0.25,1,0,True,False,False,False,False,False,False
EMP0007,32,Female,Sales,Senior,2,5,110111,51.0,22,12,1.0,5,1.0,21.0,2,3.1,43,1,Low,18351.83,0.42,2.33,5.75,0.33,0.667,3,1,False,False,False,False,False,False,True
EMP0008,32,Female,Sales,Junior,15,17,48645,66.0,6,7,5.0,1,4.0,11.0,0,5.4,49,2,Medium,2702.5,0.09,3.33,3.01,0.83,0.0,1,1,False,False,False,False,False,False,True
EMP0009,45,Female,IT,Mid,11,14,74405,11.0,18,17,5.0,1,1.0,17.0,0,4.0,29,2,Medium,4960.33,1.5,2.33,4.66,0.73,0.0,2,1,False,False,True,False,False,False,False
EMP0010,57,Male,Marketing,Senior,7,7,91826,99.0,2,1,3.0,2,2.0,23.0,2,4.6,81,1,Low,11478.25,0.02,2.33,6.3,0.88,0.25,3,0,False,False,False,True,False,False,False
EMP0011,45,Male,IT,Mid,16,23,63890,11.0,2,17,3.0,1,3.0,13.0,3,9.3,31,2,Medium,2662.08,0.17,2.33,3.56,0.67,0.176,2,0,False,False,True,False,False,False,False
EMP0012,24,Female,HR,Mid,6,9,66892,65.0,10,17,3.0,1,2.0,14.0,2,3.3,53,1,Low,6689.2,0.15,2.0,3.84,0.6,0.286,2,1,False,True,False,False,False,False,False
EMP0013,43,Male,Marketing,Mid,10,16,68763,1.0,16,10,1.0,1,5.0,14.0,3,4.5,34,2,Medium,4044.88,8.0,2.33,3.84,0.59,0.273,2,0,False,False,False,True,False,False,False
EMP0014,23,Male,Sales,Lead,17,18,146598,14.0,12,0,2.0,4,4.0,4.0,1,5.2,38,2,Medium,7715.68,0.8,3.33,1.1,0.89,0.056,4,0,False,False,False,False,False,False,True
EMP0015,45,Male,Finance,Junior,0,1,39484,22.0,1,13,5.0,1,2.0,15.0,2,7.3,57,2,Medium,19742.0,0.04,2.67,4.11,0.0,2.0,1,0,True,False,False,False,False,False,False
EMP0016,51,Female,Sales,Mid,2,7,55495,28.0,21,15,5.0,3,3.0,4.0,0,6.7,4,2,Medium,6936.88,0.72,3.67,1.1,0.25,0.0,2,1,False,False,False,False,False,False,True
EMP0017,59,Male,R&D,Lead,3,4,128481,80.0,8,10,2.0,5,1.0,1.0,3,4.5,2,2,Medium,25696.2,0.1,2.67,0.27,0.6,0.75,4,0,False,False,False,False,False,True,False
EMP0018,23,Female,HR,Lead,12,17,111267,95.0,16,0,5.0,1,4.0,19.0,2,4.1,12,3,High,6181.5,0.17,3.33,5.21,0.67,0.154,4,1,False,True,False,False,False,False,False
EMP0019,42,Female,Sales,Mid,5,6,69593,6.0,18,6,2.0,1,2.0,27.0,2,4.7,35,1,Low,9941.86,2.57,1.67,7.4,0.71,0.333,2,1,False,False,False,False,False,False,True
EMP0020,54,Female,IT,Senior,13,16,86743,93.0,13,15,1.0,1,3.0,24.0,3,6.5,70,2,Medium,5102.53,0.14,1.67,6.58,0.76,0.214,3,1,False,False,True,False,False,False,False
EMP0021,33,Female,IT,Lead,4,10,137939,27.0,15,13,1.0,3,3.0,8.0,1,4.9,72,1,Low,12539.91,0.54,2.33,2.19,0.36,0.2,4,1,False,False,True,False,False,False,False
EMP0022,43,Female,Marketing,Lead,15,22,148773,13.0,21,14,1.0,1,3.0,21.0,1,9.6,21,2,Medium,6468.39,1.5,1.67,5.75,0.65,0.062,4,1,False,False,False,True,False,False,False
EMP0023,46,Female,Marketing,Mid,14,16,74274,43.0,12,13,2.0,1,4.0,26.0,1,6.2,61,2,Medium,4369.06,0.27,2.33,7.12,0.82,0.067,2,1,False,False,False,True,False,False,False
EMP0024,48,Male,Finance,Junior,14,22,46708,29.0,8,10,2.0,5,3.0,8.0,1,3.4,35,1,Low,2030.78,0.27,3.33,2.19,0.61,0.067,1,0,True,False,False,False,False,False,False
EMP0025,49,Female,Sales,Junior,3,4,43004,80.0,10,15,4.0,3,3.0,3.0,3,8.1,48,3,High,8600.8,0.12,3.33,0.82,0.6,0.75,1,1,False,False,False,False,False,False,True
EMP0026,37,Male,Sales,Junior,7,14,40962,31.0,14,18,5.0,3,2.0,14.0,0,5.3,15,2,Medium,2730.8,0.44,3.33,3.84,0.47,0.0,1,0,False,False,False,False,False,False,True
EMP0027,36,Male,Sales,Mid,15,22,78948,69.0,5,16,5.0,1,4.0,10.0,2,7.6,71,3,High,3432.52,0.07,3.33,2.74,0.65,0.125,2,0,False,False,False,False,False,False,True
EMP0028,24,Male,Finance,Junior,15,18,40775,87.0,18,5,4.0,3,2.0,0.0,2,5.0,15,2,Medium,2146.05,0.2,3.0,0.0,0.79,0.125,1,0,True,False,False,False,False,False,False
EMP0029,58,Female,Operations,Senior,3,3,83557,5.0,19,10,4.0,2,4.0,17.0,1,7.0,6,2,Medium,20889.25,3.17,3.33,4.66,0.75,0.25,3,1,False,False,False,False,True,False,False
EMP0030,28,Male,IT,Mid,12,12,53587,26.0,15,16,1.0,3,5.0,28.0,3,8.4,81,2,Medium,4122.08,0.56,3.0,7.67,0.92,0.231,2,0,False,False,True,False,False,False,False
EMP0031,42,Female,Sales,Junior,12,13,46535,81.0,6,8,4.0,3,3.0,0.0,0,9.5,68,2,Medium,3323.93,0.07,3.33,0.0,0.86,0.0,1,1,False,False,False,False,False,False,True
EMP0032,30,Female,Finance,Lead,1,9,100954,87.0,27,17,2.0,3,5.0,7.0,0,4.8,22,3,High,10095.4,0.31,3.33,1.92,0.1,0.0,4,1,True,False,False,False,False,False,False
EMP0033,39,Female,Operations,Mid,2,3,63794,23.0,11,16,3.0,4,3.0,24.0,2,5.3,32,1,Low,15948.5,0.46,3.33,6.58,0.5,0.667,2,1,False,False,False,False,True,False,False
EMP0034,25,Female,Marketing,Junior,7,8,30687,33.0,21,11,2.0,4,5.0,15.0,1,6.2,22,2,Medium,3409.67,0.62,3.67,4.11,0.78,0.125,1,1,False,False,False,True,False,False,False
EMP0035,46,Female,Operations,Lead,14,19,141269,39.0,11,4,4.0,4,4.0,25.0,2,9.5,27,3,High,7063.45,0.28,4.0,6.85,0.7,0.133,4,1,False,False,False,False,True,False,False
EMP0036,35,Other,IT,Junior,10,16,45138,46.0,20,10,5.0,3,3.0,27.0,2,9.3,15,3,High,2655.18,0.43,3.67,7.4,0.59,0.182,1,2,False,False,True,False,False,False,False
EMP0037,30,Female,Sales,Senior,8,14,83127,78.0,20,3,2.0,2,2.0,21.0,0,3.6,44,1,Low,5541.8,0.25,2.0,5.75,0.53,0.0,3,1,False,False,False,False,False,False,True
EMP0038,47,Female,Operations,Senior,6,14,103147,51.0,21,3,5.0,3,2.0,17.0,3,3.9,86,2,Medium,6876.47,0.4,3.33,4.66,0.4,0.429,3,1,False,False,False,False,True,False,False
EMP0039,23,Female,Finance,Mid,12,17,62760,85.0,18,2,2.0,1,4.0,21.0,0,6.5,92,2,Medium,3486.67,0.21,2.33,5.75,0.67,0.0,2,1,True,False,False,False,False,False,False
EMP0040,41,Female,IT,Lead,1,8,111559,23.0,25,16,5.0,2,1.0,8.0,2,3.7,9,2,Medium,12395.44,1.04,2.67,2.19,0.11,1.0,4,1,False,False,True,False,False,False,False
EMP0041,49,Male,Marketing,Mid,7,12,64796,64.0,18,6,2.0,4,1.0,11.0,1,5.4,34,1,Low,4984.31,0.28,2.33,3.01,0.54,0.125,2,0,False,False,False,True,False,False,False
EMP0042,28,Male,Operations,Mid,6,7,53395,17.0,10,3,5.0,5,2.0,18.0,1,4.0,73,1,Low,6674.38,0.56,4.0,4.93,0.75,0.143,2,0,False,False,False,False,True,False,False
EMP0043,29,Male,Finance,Junior,11,11,30845,43.0,2,12,3.0,2,4.0,24.0,3,7.5,15,2,Medium,2570.42,0.05,3.0,6.58,0.92,0.25,1,0,True,False,False,False,False,False,False
EMP0044,56,Male,Finance,Junior,18,22,31164,75.0,26,11,1.0,4,1.0,14.0,3,9.6,62,3,High,1354.96,0.34,2.0,3.84,0.78,0.158,1,0,True,False,False,False,False,False,False
EMP0045,35,Female,IT,Manager,6,14,183749,56.0,9,0,2.0,2,5.0,26.0,3,10.0,45,2,Medium,12249.93,0.16,3.0,7.12,0.4,0.429,5,1,False,False,True,False,False,False,False
EMP0046,38,Female,HR,Mid,9,16,55904,27.0,14,18,3.0,2,2.0,4.0,2,5.6,84,2,Medium,3288.47,0.5,2.33,1.1,0.53,0.2,2,1,False,True,False,False,False,False,False
EMP0047,57,Female,HR,Mid,15,18,63731,70.0,19,19,1.0,3,5.0,26.0,2,7.2,72,2,Medium,3354.26,0.27,3.0,7.12,0.79,0.125,2,1,False,True,False,False,False,False,False
EMP0048,25,Male,Operations,Mid,2,6,76343,51.0,10,17,2.0,1,4.0,1.0,3,9.0,58,3,High,10906.14,0.19,2.33,0.27,0.29,1.0,2,0,False,False,False,False,True,False,False
EMP0049,23,Female,Operations,Mid,9,13,71744,84.0,23,10,3.0,5,5.0,6.0,1,3.8,92,2,Medium,5124.57,0.27,4.33,1.64,0.64,0.1,2,1,False,False,False,False,True,False,False
EMP0050,27,Female,Operations,Junior,5,10,30354,33.0,4,19,3.0,4,1.0,26.0,1,7.8,19,1,Low,2759.45,0.12,2.67,7.12,0.45,0.167,1,1,False,False,False,False,True,False,False
EMP0051,25,Female,Sales,Mid,17,19,68256,10.0,29,2,3.0,2,1.0,9.0,1,5.9,16,2,Medium,3412.8,2.64,2.0,2.47,0.85,0.056,2,1,False,False,False,False,False,False,True
EMP0052,50,Female,Marketing,Senior,17,21,115585,85.0,29,16,4.0,5,3.0,14.0,2,4.4,75,3,High,5253.86,0.34,4.0,3.84,0.77,0.111,3,1,False,False,False,True,False,False,False
EMP0053,39,Female,Marketing,Junior,4,5,33832,34.0,6,11,3.0,2,2.0,24.0,0,5.8,8,1,Low,5638.67,0.17,2.33,6.58,0.67,0.0,1,1,False,False,False,True,False,False,False
EMP0054,47,Male,Finance,Junior,6,15,42467,92.0,14,9,1.0,1,4.0,6.0,1,3.5,33,2,Medium,2654.19,0.15,2.0,1.64,0.38,0.143,1,0,True,False,False,False,False,False,False
EMP0055,55,Female,Marketing,Junior,1,1,38257,41.0,4,7,5.0,5,2.0,27.0,1,7.9,74,1,Low,19128.5,0.1,4.0,7.4,0.5,0.5,1,1,False,False,False,True,False,False,False
EMP0056,31,Male,Operations,Mid,10,10,63107,27.0,26,14,5.0,4,5.0,4.0,1,4.8,18,3,High,5737.0,0.93,4.67,1.1,0.91,0.091,2,0,False,False,False,False,True,False,False
EMP0057,57,Male,HR,Lead,12,21,112458,81.0,15,4,5.0,2,4.0,14.0,3,5.2,35,3,High,5111.73,0.18,3.67,3.84,0.55,0.231,4,0,False,True,False,False,False,False,False
EMP0058,35,Female,HR,Junior,4,10,40713,77.0,16,3,3.0,1,4.0,19.0,2,3.8,43,2,Medium,3701.18,0.21,2.67,5.21,0.36,0.4,1,1,False,True,False,False,False,False,False
EMP0059,52,Male,Sales,Junior,5,6,32581,81.0,7,19,5.0,5,1.0,27.0,3,9.1,50,2,Medium,4654.43,0.09,3.67,7.4,0.71,0.5,1,0,False,False,False,False,False,False,True
EMP0060,36,Female,IT,Mid,13,16,59582,91.0,17,18,4.0,2,5.0,19.0,3,6.5,3,3,High,3504.82,0.18,3.67,5.21,0.76,0.214,2,1,False,False,True,False,False,False,False
EMP0061,29,Male,Finance,Senior,11,15,88418,51.0,19,3,2.0,2,1.0,14.0,0,7.0,91,1,Low,5526.12,0.37,1.67,3.84,0.69,0.0,3,0,True,False,False,False,False,False,False
EMP0062,35,Female,Marketing,Senior,3,9,108091,7.0,29,14,3.0,4,1.0,9.0,3,7.0,59,2,Medium,10809.1,3.62,2.67,2.47,0.3,0.75,3,1,False,False,False,True,False,False,False
EMP0063,44,Male,IT,Mid,5,6,79113,52.0,19,16,1.0,1,3.0,23.0,0,5.9,28,1,Low,11301.86,0.36,1.67,6.3,0.71,0.0,2,0,False,False,True,False,False,False,False
EMP0064,42,Female,Sales,Senior,9,14,98827,71.0,17,11,2.0,3,1.0,25.0,3,4.3,46,2,Medium,6588.47,0.24,2.0,6.85,0.6,0.3,3,1,False,False,False,False,False,False,True
EMP0065,37,Female,Finance,Senior,17,17,94419,3.0,6,2,2.0,2,2.0,28.0,1,8.2,64,1,Low,5245.5,1.5,2.0,7.67,0.94,0.056,3,1,True,False,False,False,False,False,False
EMP0066,39,Male,Sales,Lead,14,20,111814,90.0,29,9,2.0,5,4.0,25.0,2,3.9,70,2,Medium,5324.48,0.32,3.67,6.85,0.67,0.133,4,0,False,False,False,False,False,False,True
EMP0067,45,Female,Sales,Lead,7,15,133804,99.0,11,14,5.0,4,1.0,13.0,3,3.7,47,2,Medium,8362.75,0.11,3.33,3.56,0.44,0.375,4,1,False,False,False,False,False,False,True
EMP0068,47,Other,Sales,Junior,8,12,40024,4.0,16,9,5.0,4,2.0,25.0,0,8.0,14,2,Medium,3078.77,3.2,3.67,6.85,0.62,0.0,1,2,False,False,False,False,False,False,True
EMP0069,46,Male,Sales,Junior,4,8,40932,96.0,25,17,3.0,2,5.0,25.0,2,4.5,7,3,High,4548.0,0.26,3.33,6.85,0.44,0.4,1,0,False,False,False,False,False,False,True
EMP0070,50,Male,Sales,Junior,9,12,37435,51.0,8,0,5.0,2,4.0,9.0,0,5.1,74,2,Medium,2879.62,0.15,3.67,2.47,0.69,0.0,1,0,False,False,False,False,False,False,True
